# MJD	Densities (cm^3)
59000.230556	4.38
59000.231250	4.39
59000.231944	4.48
59000.232639	4.67
59000.233333	4.45
59000.234028	4.42
59000.234722	4.16
59000.235417	4.22
59000.236111	4.23
59000.236806	4.18
59000.237500	4.15
59000.238194	4.26
59000.238889	4.25
59000.239583	4.38
59000.240278	4.06
59000.240972	4.03
59000.241667	4.20
59000.242361	4.09
59000.243056	4.18
59000.243750	4.58
59000.244444	4.36
59000.245139	4.41
59000.245833	4.35
59000.246528	4.38
59000.247222	4.34
59000.247917	4.14
59000.248611	4.20
59000.249306	4.45
59000.250000	4.25
59000.250694	4.72
59000.251389	4.71
59000.252083	4.66
59000.252778	4.29
59000.253472	4.39
59000.254167	4.32
59000.254861	4.22
59000.255556	4.12
59000.256250	4.07
59000.256944	4.06
59000.257639	4.09
59000.258333	4.07
59000.259028	3.97
59000.259722	4.07
59000.260417	4.14
59000.261111	4.20
59000.261806	4.11
59000.262500	4.01
59000.263194	3.91
59000.263889	4.10
59000.264583	4.12
59000.265278	4.14
59000.265972	4.19
59000.266667	4.23
59000.267361	4.21
59000.268056	4.11
59000.268750	4.30
59000.269444	4.42
59000.270139	4.38
59000.270833	4.36
59000.271528	4.49
59000.272222	4.46
59000.272917	4.20
59000.273611	4.19
59000.274306	4.32
59000.275000	4.50
59000.275694	4.05
59000.276389	4.59
59000.277083	4.37
59000.277778	4.76
59000.278472	4.36
59000.279167	4.44
59000.279861	4.28
59000.280556	4.45
59000.281250	4.47
59000.281944	4.51
59000.282639	4.61
59000.283333	4.69
59000.284028	4.42
59000.284722	4.35
59000.285417	4.25
59000.286111	4.19
59000.286806	4.19
59000.287500	4.01
59000.288194	4.19
59000.288889	4.22
59000.289583	4.14
59000.290278	3.98
59000.290972	3.99
59000.291667	4.29
59000.292361	4.72
59000.293056	4.61
59000.293750	4.61
59000.294444	4.75
59000.295139	4.65
59000.295833	4.61
59000.296528	4.69
59000.297222	4.60
59000.297917	4.65
59000.298611	4.64
59000.299306	4.46
59000.300000	4.51
59000.300694	4.77
59000.301389	4.63
59000.302083	5.17
59000.302778	4.93
59000.303472	4.84
59000.304167	4.75
59000.304861	4.73
59000.305556	4.79
59000.306250	4.92
59000.306944	4.56
59000.307639	4.57
59000.308333	4.67
59000.309028	4.57
59000.309722	4.75
59000.310417	4.79
59000.311111	4.80
59000.311806	4.77
59000.312500	4.73
59000.313194	4.88
59000.313889	4.85
59000.314583	4.79
59000.315278	4.78
59000.315972	4.92
59000.316667	4.99
59000.317361	4.72
59000.318056	4.81
59000.318750	4.91
59000.319444	4.82
59000.320139	4.81
59000.320833	4.88
59000.321528	4.90
59000.322222	4.89
59000.322917	4.91
59000.323611	4.83
59000.324306	4.97
59000.325000	4.86
59000.325694	4.83
59000.326389	5.03
59000.327083	4.90
59000.327778	4.73
59000.328472	4.62
59000.329167	4.48
59000.329861	4.42
59000.330556	4.44
59000.331250	4.60
59000.331944	4.72
59000.332639	4.56
59000.333333	4.55
59000.334028	4.66
59000.334722	4.65
59000.335417	4.73
59000.336111	4.69
59000.336806	4.86
59000.337500	4.80
59000.338194	4.73
59000.338889	4.76
59000.339583	4.91
59000.340278	4.74
59000.340972	4.76
59000.341667	4.81
59000.342361	4.73
59000.343056	4.69
59000.343750	4.94
59000.344444	4.71
59000.345139	4.79
59000.345833	4.62
59000.346528	4.91
59000.347222	4.90
59000.347917	4.92
59000.348611	4.76
59000.349306	4.55
59000.350000	4.47
59000.350694	4.69
59000.351389	4.71
59000.352083	4.50
59000.352778	4.31
59000.353472	4.31
59000.354167	4.33
59000.354861	4.27
59000.355556	4.33
59000.356250	4.05
59000.356944	4.22
59000.357639	4.19
59000.358333	4.27
59000.359028	4.43
59000.359722	4.54
59000.360417	4.61
59000.361111	4.62
59000.361806	4.45
59000.362500	4.52
59000.363194	4.44
59000.363889	4.35
59000.364583	4.32
59000.365278	4.40
59000.365972	4.49
59000.366667	4.42
59000.367361	4.41
59000.368056	4.37
59000.368750	4.40
59000.369444	4.44
59000.370139	4.46
59000.370833	4.58
59000.371528	4.51
59000.372222	4.55
59000.372917	4.63
59000.373611	4.62
59000.374306	4.47
59000.375000	4.86
59000.375694	4.98
59000.376389	4.84
59000.377083	4.83
59000.377778	4.87
59000.378472	4.81
59000.379167	4.62
59000.379861	4.65
59000.380556	4.60
59000.381250	4.67
59000.381944	4.77
59000.382639	4.81
59000.383333	4.66
59000.384028	4.67
59000.384722	4.74
59000.385417	4.62
59000.386111	4.87
59000.386806	4.65
59000.387500	4.68
59000.388194	4.65
59000.388889	4.58
59000.389583	4.45
59000.390278	4.46
59000.390972	4.37
59000.391667	4.45
59000.392361	4.61
59000.393056	4.78
59000.393750	4.82
59000.394444	4.76
59000.395139	4.68
59000.395833	4.69
59000.396528	5.10
59000.397222	5.04
59000.397917	5.00
59000.398611	4.90
59000.399306	4.89
59000.400000	5.01
59000.400694	4.88
59000.401389	4.76
59000.402083	4.89
59000.402778	4.76
59000.403472	4.71
59000.404167	4.67
59000.404861	4.77
59000.405556	4.71
59000.406250	4.55
59000.406944	4.58
59000.407639	4.87
59000.408333	5.08
59000.409028	4.92
59000.409722	4.87
59000.410417	4.66
59000.411111	4.52
59000.411806	4.54
59000.412500	4.56
59000.413194	4.65
59000.413889	4.53
59000.414583	4.54
59000.415278	4.56
59000.415972	4.62
59000.416667	4.58
59000.417361	4.55
59000.418056	4.72
59000.418750	4.77
59000.419444	4.76
59000.420139	4.57
59000.420833	4.79
59000.421528	4.83
59000.422222	4.75
59000.422917	4.47
59000.423611	4.51
59000.424306	4.71
59000.425000	4.48
59000.425694	4.58
59000.426389	4.81
59000.427083	4.95
59000.427778	4.71
59000.428472	4.73
59000.429167	4.80
59000.429861	4.91
59000.430556	4.85
59000.431250	5.08
59000.431944	5.06
59000.432639	5.25
59000.433333	5.15
59000.434028	5.09
59000.434722	4.57
59000.435417	4.36
59000.436111	4.21
59000.436806	4.07
59000.437500	4.14
59000.438194	4.30
59000.438889	4.20
59000.439583	4.16
59000.440278	4.21
59000.440972	4.16
59000.441667	4.16
59000.442361	4.33
59000.443056	4.61
59000.443750	4.36
59000.444444	4.26
59000.445139	4.34
59000.445833	4.28
59000.446528	4.23
59000.447222	4.26
59000.447917	4.26
59000.448611	4.20
59000.449306	4.25
59000.450000	4.14
59000.450694	4.11
59000.451389	4.33
59000.452083	4.46
59000.452778	4.44
59000.453472	4.51
59000.454167	4.45
59000.454861	4.50
59000.455556	4.75
59000.456250	4.75
59000.456944	4.91
59000.457639	5.01
59000.458333	4.93
59000.459028	4.86
59000.459722	4.81
59000.460417	4.80
59000.461111	4.84
59000.461806	4.72
59000.462500	4.86
59000.463194	4.98
59000.463889	4.70
59000.464583	4.57
59000.465278	4.52
59000.465972	4.54
59000.466667	4.39
59000.467361	4.44
59000.468056	4.62
59000.468750	4.55
59000.469444	4.42
59000.470139	4.31
59000.470833	4.35
59000.471528	4.28
59000.472222	4.34
59000.472917	4.33
59000.473611	4.32
59000.474306	4.41
59000.475000	4.28
59000.475694	5.07
59000.476389	5.45
59000.477083	5.38
59000.477778	5.59
59000.478472	4.91
59000.479167	5.45
59000.479861	5.69
59000.480556	5.74
59000.481250	5.56
59000.481944	5.93
59000.482639	5.87
59000.483333	5.62
59000.484028	4.84
59000.484722	4.86
59000.485417	4.38
59000.486111	4.36
59000.486806	4.52
59000.487500	4.47
59000.488194	4.46
59000.488889	4.75
59000.489583	4.33
59000.490278	4.57
59000.490972	4.75
59000.491667	4.89
59000.492361	5.02
59000.493056	5.06
59000.493750	5.36
59000.494444	5.57
59000.495139	5.70
59000.495833	5.63
59000.496528	5.63
59000.497222	5.60
59000.497917	5.29
59000.498611	5.40
