# MJD	Densities (cm^3)
59000.975000	3.42
59000.975694	3.38
59000.976389	3.37
59000.977083	3.47
59000.977778	3.33
59000.978472	3.29
59000.979167	3.42
59000.979861	3.46
59000.980556	3.42
59000.981250	3.35
59000.981944	3.45
59000.982639	3.38
59000.983333	3.32
59000.984028	3.40
59000.984722	3.42
59000.985417	3.35
59000.986111	3.35
59000.986806	3.37
59000.987500	3.37
59000.988194	3.39
59000.988889	3.39
59000.989583	3.45
59000.990278	3.35
59000.990972	3.34
59000.991667	3.28
59000.992361	3.30
59000.993056	3.26
59000.993750	3.28
59000.994444	3.42
59000.995139	3.32
59000.995833	3.32
59000.996528	3.19
59000.997222	3.23
59000.997917	3.35
59000.998611	3.41
59000.999306	3.31
