# MJD	Densities (cm^3)
55999.999306	-999.90
56000.002778	0.03
56000.006250	-999.90
56000.009722	-999.90
56000.013194	0.03
56000.016667	0.03
56000.020139	0.03
56000.023611	0.03
56000.027083	0.04
56000.030556	0.07
56000.034028	0.04
56000.037500	0.03
56000.040972	-999.90
56000.044444	0.04
56000.047917	-999.90
56000.050694	0.04
56000.054167	0.03
56000.057639	0.03
56000.061111	0.03
56000.064583	-999.90
56000.068056	0.04
56000.071528	0.04
56000.075000	0.03
56000.078472	0.04
56000.081944	0.04
56000.085417	-999.90
56000.088889	0.03
56000.092361	0.04
56000.095833	0.03
56000.099306	0.04
56000.102778	0.06
56000.106250	0.04
56000.109722	0.02
56000.113194	0.04
56000.116667	0.04
56000.120139	-999.90
56000.123611	-999.90
56000.127083	0.03
56000.130556	0.02
56000.134028	0.03
56000.137500	0.04
56000.140972	-999.90
56000.144444	0.03
56000.147917	-999.90
56000.151389	0.04
56000.154861	0.04
56000.158333	0.05
56000.161806	-999.90
56000.165278	0.07
56000.168750	0.04
56000.172222	0.09
56000.175694	0.05
56000.179167	0.04
56000.182639	0.04
56000.186111	-999.90
56000.189583	0.04
56000.193056	0.06
56000.196528	0.04
56000.200000	-999.90
56000.203472	0.03
56000.206944	0.03
56000.210417	0.02
56000.213889	0.03
56000.217361	0.03
56000.220833	0.03
56000.224306	0.03
56000.227778	0.05
56000.231250	0.03
56000.234722	-999.90
56000.238194	0.02
56000.241667	0.03
56000.245139	-999.90
56000.248611	0.02
56000.252083	-999.90
56000.255556	0.06
56000.259028	0.04
56000.262500	-999.90
56000.265972	0.02
56000.269444	-999.90
56000.272917	0.03
56000.276389	-999.90
56000.279861	-999.90
56000.283333	0.05
56000.286806	0.05
56000.290278	0.06
56000.293750	0.07
56000.297222	0.06
56000.300694	0.07
56000.304167	0.06
56000.307639	0.06
56000.311111	0.05
56000.314583	-999.90
56000.318056	0.10
56000.321528	0.09
56000.325000	0.06
56000.328472	0.05
56000.331944	0.04
56000.335417	0.06
56000.338889	0.05
56000.342361	0.03
56000.345833	-999.90
56000.349306	-999.90
56000.352778	0.04
56000.356250	0.03
56000.359722	-999.90
56000.363194	0.04
56000.366667	-999.90
56000.370139	0.10
56000.373611	0.04
56000.377083	0.07
56000.380556	0.08
56000.384028	0.06
56000.386806	0.06
56000.390278	0.10
56000.393750	0.05
56000.397222	0.05
56000.400694	0.06
56000.404167	0.05
56000.407639	0.04
56000.411111	0.04
56000.414583	0.04
56000.418056	-999.90
56000.421528	0.03
56000.425000	0.03
56000.428472	-999.90
56000.431944	-999.90
56000.435417	0.04
56000.438889	0.06
56000.442361	0.07
56000.445833	0.08
56000.449306	0.06
56000.452778	0.07
56000.456250	0.11
56000.459722	0.09
56000.463194	0.11
56000.466667	0.06
56000.470139	0.07
56000.473611	0.05
56000.477083	0.02
56000.480556	0.03
56000.484028	0.02
56000.487500	0.04
56000.490972	0.03
56000.494444	0.03
56000.497917	-999.90
56000.501389	0.05
56000.504861	0.03
56000.508333	-999.90
56000.511806	-999.90
56000.515278	-999.90
56000.518750	0.06
56000.522222	0.07
56000.525694	0.07
56000.529167	0.08
56000.532639	0.07
56000.536111	0.08
56000.539583	0.10
56000.543056	0.08
56000.546528	0.09
56000.550000	0.08
56000.553472	0.09
56000.556944	0.10
56000.560417	0.11
56000.563889	0.10
56000.567361	0.07
56000.570833	0.07
56000.574306	0.07
56000.577778	0.08
56000.581250	0.03
56000.584722	0.02
56000.588194	0.02
56000.591667	0.03
56000.595139	0.06
56000.598611	0.07
56000.602083	0.06
56000.605556	0.05
56000.609028	0.05
56000.612500	0.05
56000.615972	0.05
56000.619444	-999.90
56000.622917	0.08
56000.626389	0.06
56000.629861	0.07
56000.633333	0.07
56000.636806	0.05
56000.640278	0.05
56000.643750	0.05
56000.647222	0.06
56000.650694	0.06
56000.654167	0.06
56000.657639	0.05
56000.661111	0.07
56000.664583	0.06
56000.668056	-999.90
56000.671528	0.09
56000.675000	0.07
56000.678472	0.09
56000.681944	0.09
56000.685417	-999.90
56000.688889	0.10
56000.692361	0.10
56000.695833	-999.90
56000.699306	0.10
56000.702778	0.09
56000.706250	0.08
56000.709722	0.09
56000.713194	0.11
56000.716667	0.09
56000.720139	0.09
56000.723611	0.08
56000.726389	-999.90
56000.729861	-999.90
56000.733333	0.09
56000.736806	0.10
56000.740278	0.09
56000.743750	0.09
56000.747222	0.09
56000.750694	0.10
56000.754167	0.10
56000.757639	0.08
56000.761111	0.09
56000.764583	0.12
56000.768056	0.12
56000.771528	0.10
56000.775000	0.11
56000.778472	0.05
56000.781944	0.05
56000.785417	0.08
56000.788889	0.08
56000.792361	0.09
56000.795833	0.10
56000.799306	0.09
56000.802778	0.12
56000.806250	0.21
56000.809722	0.44
56000.813194	0.14
56000.816667	0.21
56000.820139	0.14
56000.823611	0.17
56000.827083	0.17
56000.830556	0.13
56000.834028	0.16
56000.837500	0.15
56000.840972	0.13
56000.844444	0.25
56000.847917	0.27
56000.851389	0.20
56000.854861	0.31
56000.858333	0.28
56000.861806	0.28
56000.865278	0.32
56000.868750	0.35
56000.872222	0.29
56000.875694	0.39
56000.879167	0.46
56000.882639	0.41
56000.886111	0.39
56000.889583	0.28
56000.893056	0.48
56000.896528	0.29
56000.900000	0.29
56000.903472	0.31
56000.906944	0.50
56000.910417	0.51
56000.913889	0.35
56000.917361	0.44
56000.920833	0.45
56000.924306	0.58
56000.927778	0.30
56000.931250	0.38
56000.934722	0.39
56000.938194	0.44
56000.941667	0.25
56000.945139	0.23
56000.948611	0.27
56000.952083	0.29
56000.955556	0.30
56000.959028	0.31
56000.962500	0.04
56000.965972	0.09
56000.969444	0.15
56000.972917	0.23
56000.976389	0.29
56000.979861	0.13
56000.983333	0.15
56000.986806	0.15
56000.990278	0.11
56000.993750	0.25
56000.997222	0.31
